var	ctrl	d3g1lg4	d3g2l
Variant_001010	81	102	53
Variant_001011	53	41	31
Variant_001012	47	37	32
Variant_001013	71	41	24
Variant_001014	34	25	19
Variant_001015	61	25	14
Variant_001016	24	19	12
Variant_001017	94	53	19
Variant_001018	58	29	19
Variant_001019	68	53	35
Variant_001020	42	35	19
Variant_001021	84	17	14
Variant_001022	44	27	7
Variant_001023	47	20	7
Variant_001024	36	18	13
Variant_001025	78	70	63
Variant_001026	50	36	20
Variant_001027	38	40	30
Variant_001028	32	26	21
Variant_001029	40	24	10
Variant_001030	28	31	16
Variant_001031	21	6	4
Variant_001032	20	18	6
Variant_001033	50	31	29
Variant_001034	38	24	23
Variant_001035	21	21	15
Variant_001036	17	6	2
Variant_001037	39	21	18
Variant_001038	23	12	9
Variant_001039	33	23	8
Variant_001040	12	11	9
Variant_001041	43	58	49
Variant_001042	20	2	4
Variant_001043	18	8	9
Variant_001044	21	5	3
Variant_001045	26	19	14
Variant_001046	13	8	1
Variant_001047	18	8	3
Variant_001048	13	16	10
Variant_001049	32	22	16
Variant_001050	11	8	6
Variant_001051	21	11	8
Variant_001052	20	19	13
Variant_001053	24	8	5
Variant_001054	14	13	3
Variant_001055	25	7	4
Variant_001056	16	6	6
Variant_001057	38	31	17
Variant_001058	32	8	7
Variant_001059	22	14	9
Variant_001060	24	19	14
Variant_001061	29	18	10
Variant_001062	19	14	6
Variant_001063	19	11	3
Variant_001064	17	6	3
Variant_001065	22	6	5
Variant_001066	24	14	9
Variant_001067	27	18	10
Variant_001068	11	7	6
Variant_001069	24	9	5
Variant_001070	15	6	10
